School,SchoolID,Enrollment,AdmissionsType,OverallScore,OverallTier,OverallCategory,AchieveScore,ProgressScore,ClimateScore,CollegeCareerScore,StayOnTrackScore,Attendance_95above_Score,Attendance_90-95_Score,Attendance_8590_Score,Attendance_8085_Score,Attendance_below80_Score,RetentionScore,ISS_Score,OSS_Score,StudentSurveyClimateScore,ParentSurveyClimateScore,ParentSurveyParticipationScore,GradScore,FFMatricScore,AP_Score,AP_Participants_Score,AP_NonParticipants_Score,ACTSAT_Score,ACTSAT_Participants_Score,ACTSAT_NonParticipants_Score,FAFSAScore,StudentSurveyCollegeCareerScore,TeacherEffectDistinguishedScore,TeacherEffectInstructionScore,TeacherAttendanceScore,StudentSurveyTeachingScore
John Bartram High School,101,601,Neighborhood,14,INTERVENE,1,0,28,11,5,90,13,12,11,12,52,73,100,83,54,0,4,58,24,6,4,90,0,68,32,42,19,15,21,56,47
West Philadelphia High School,102,483,Neighborhood,22,INTERVENE,1,0,44,14,12,80,10,15,17,10,48,75,100,77,59,79,22,64,43,3,27,70,0,72,28,48,27,11,29,56,42
High School of the Future,103,476,Citywide,23,INTERVENE,1,3,27,46,17,94,25,31,18,7,19,89,100,93,0,0,3,73,61,0,28,72,1,72,28,59,0,16,13,50,0
Paul Robeson High School for Human Services,105,297,Citywide,41,WATCH,2,0,60,61,55,91,37,29,17,6,10,89,100,96,69,0,6,96,48,10,24,67,4,90,6,67,27,15,15,61,55
William L. Sayre High School,110,492,Neighborhood,8,INTERVENE,1,0,13,12,5,86,8,13,12,10,57,59,100,87,56,0,9,53,18,0,7,93,1,74,25,38,24,6,10,53,46
Motivation High School,119,387,Special Admit,28,WATCH,2,4,27,55,50,96,35,29,17,6,13,85,100,96,0,0,8,93,60,1,91,7,4,93,3,68,0,0,15,52,0
South Philadelphia High School,200,611,Neighborhood,7,INTERVENE,1,0,6,15,10,73,18,17,11,8,47,68,100,86,57,70,11,53,27,24,10,66,1,61,38,40,26,4,4,64,39
Benjamin Franklin High School,201,547,Neighborhood,4,INTERVENE,1,1,8,1,1,73,8,14,14,13,52,61,93,65,0,0,7,46,26,8,0,92,0,68,32,28,0,0,0,46,0
High School for Creative and Performing Arts School,202,693,Special Admit,51,REINFORCE,3,41,48,62,72,99,42,33,10,6,8,96,100,99,0,0,6,97,79,23,23,53,28,63,9,83,0,28,28,63,0
Julia R. Masterman School,214,442,Special Admit,74,REINFORCE,3,100,41,93,93,100,87,12,1,0,0,100,100,100,70,82,16,100,94,83,9,7,100,0,0,94,30,68,68,70,59
Furness High School,216,692,Neighborhood,27,WATCH,2,2,42,42,15,91,26,23,15,10,26,81,100,90,58,81,10,70,42,11,25,64,6,88,7,66,22,0,3,74,53
Franklin Learning Center,229,871,Special Admit,32,WATCH,2,11,26,61,60,89,32,31,15,7,13,90,100,98,64,77,11,92,72,18,38,44,16,78,6,79,25,10,11,57,49
Girard Academic Music Program,241,239,Special Admit,69,REINFORCE,3,56,73,77,77,98,56,30,9,3,3,98,99,98,0,92,13,96,85,25,33,42,52,48,0,83,0,30,52,71,0
Academy at Palumbo,262,903,Special Admit,67,REINFORCE,3,58,61,83,82,97,55,27,9,3,6,95,100,99,64,79,33,99,81,21,45,35,44,54,2,85,27,19,50,75,55
Science Leadership Academy,265,492,Special Admit,66,REINFORCE,3,65,49,84,84,100,57,29,8,2,4,97,100,99,73,88,24,99,84,19,0,81,55,39,6,85,31,61,52,71,64
Constitution High School,267,372,Citywide,51,REINFORCE,3,23,73,48,65,97,23,41,18,8,10,94,100,93,71,0,3,97,73,13,74,13,9,87,3,88,26,0,0,81,58
The Science Leadership Academy at Beeber,268,476,Special Admit,50,REINFORCE,3,33,49,67,68,98,40,34,11,5,10,93,100,96,62,86,12,97,74,0,0,100,17,82,1,88,24,63,63,80,55
Overbrook High School,402,573,Neighborhood,4,INTERVENE,1,1,8,3,1,68,6,12,12,11,60,63,100,68,0,0,1,55,23,1,5,94,0,80,20,32,0,3,10,60,0
High School of Engineering and Science,403,776,Special Admit,76,MODEL,4,71,78,80,77,97,60,25,8,2,4,96,99,99,64,0,8,96,86,14,59,27,48,52,0,83,31,73,70,77,48
Murrell Dobbins Career and Technical High School,406,610,Citywide,18,INTERVENE,1,0,18,22,61,91,12,21,19,15,33,77,100,82,59,80,12,96,38,60,19,21,2,85,13,58,25,12,18,60,43
Strawberry Mansion High School,414,312,Neighborhood,5,INTERVENE,1,0,7,5,13,72,11,12,11,12,54,67,100,54,58,0,2,52,39,3,19,78,1,75,23,58,25,6,6,41,47
Thomas A. Edison High School,502,1053,Neighborhood,12,INTERVENE,1,0,20,12,14,90,9,14,13,12,52,66,95,81,52,73,11,59,26,44,12,43,1,61,38,39,22,32,45,72,41
Philadelphia Military Academy,505,247,Citywide,41,WATCH,2,6,58,52,65,99,29,34,20,7,10,90,100,93,60,0,2,100,54,0,33,67,8,90,2,83,25,44,33,71,52
Jules E. Mastbaum Area Vocational Technical High School,506,755,Citywide,20,INTERVENE,1,4,23,33,32,89,13,28,20,15,23,84,100,77,0,0,1,83,31,76,15,9,0,86,14,55,0,0,10,64,0
Parkway Northwest High School,507,246,Special Admit,29,WATCH,2,5,25,53,63,98,31,34,17,6,12,91,100,92,60,0,3,97,68,2,27,71,8,89,3,76,22,9,18,69,45
Parkway Center City High School,508,558,Special Admit,66,REINFORCE,3,45,91,58,64,93,30,33,17,7,13,92,100,100,0,84,12,97,73,4,65,31,14,84,1,85,0,43,43,71,0
Parkway West High School,509,258,Special Admit,31,WATCH,2,13,40,40,36,75,29,26,17,10,18,82,100,82,0,87,11,85,65,0,77,23,6,64,30,62,0,0,0,65,0
William W. Bodine High School,515,513,Special Admit,51,REINFORCE,3,38,46,62,82,94,36,35,14,6,8,91,95,96,61,77,14,100,77,27,38,34,32,66,2,83,27,37,42,82,47
Penn Treaty High School,516,346,Neighborhood,19,INTERVENE,1,3,39,14,7,84,14,19,14,12,39,76,100,84,0,74,11,73,28,0,7,93,2,66,32,55,0,3,0,33,0
Kensington High School for Creative and Performing Arts,552,505,Neighborhood,18,INTERVENE,1,1,23,31,25,89,12,20,20,11,37,81,100,91,62,0,6,82,42,0,0,100,2,78,20,54,19,0,0,53,43
Kensington Health Sciences Academy,555,467,Neighborhood,21,INTERVENE,1,0,40,14,19,87,10,24,16,13,37,74,100,77,60,87,23,77,42,19,15,65,0,65,35,56,27,10,0,65,53
Building 21,561,348,Citywide,9,INTERVENE,1,0,14,16,N/A,N/A,8,21,16,15,41,71,99,81,56,85,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,63,45
The U School,562,236,Citywide,9,INTERVENE,1,0,0,31,N/A,N/A,6,21,13,11,49,77,100,100,60,85,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,38,38,71,50
The LINC,566,238,Citywide,14,INTERVENE,1,1,24,18,N/A,88,15,28,15,13,29,71,100,88,59,71,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,0,0,69,43
Kensington High School,570,628,Neighborhood,13,INTERVENE,1,0,22,16,7,84,8,13,13,13,53,77,98,83,54,0,4,77,21,4,18,78,1,73,26,32,26,5,9,67,46
Central High School,601,2315,Special Admit,91,MODEL,4,95,89,92,90,98,69,20,6,2,3,98,100,98,63,79,19,99,91,46,19,36,87,11,2,92,31,19,25,90,51
Roxborough High School,603,624,Neighborhood,14,INTERVENE,1,0,21,22,13,94,19,25,21,11,23,81,83,78,0,0,6,72,47,11,38,51,4,76,20,60,0,8,36,58,0
Walter B. Saul High School,604,550,Special Admit,30,WATCH,2,9,23,50,70,98,21,37,18,9,15,89,100,93,62,83,10,96,64,43,35,23,14,83,3,76,26,48,81,78,41
Philadelphia High School for Girls,605,1013,Special Admit,57,REINFORCE,3,46,63,59,64,96,38,31,13,6,13,94,100,99,0,0,2,92,86,23,25,52,31,68,1,92,0,53,71,62,0
